date,value,unit,lat,lon,city,parameter
2024-11-15 09:00:00,73.5,μg/m³,45.4642,9.19,,pm25
2024-11-15 10:00:00,73.2,μg/m³,45.4642,9.19,,pm25
2024-11-15 11:00:00,71.7,μg/m³,45.4642,9.19,,pm25
2024-11-15 12:00:00,69.0,μg/m³,45.4642,9.19,,pm25
2024-11-15 13:00:00,65.0,μg/m³,45.4642,9.19,,pm25
2024-11-15 14:00:00,56.8,μg/m³,45.4642,9.19,,pm25
2024-11-15 15:00:00,54.6,μg/m³,45.4642,9.19,,pm25
2024-11-15 16:00:00,54.1,μg/m³,45.4642,9.19,,pm25
2024-11-15 17:00:00,59.7,μg/m³,45.4642,9.19,,pm25
2024-11-15 18:00:00,66.2,μg/m³,45.4642,9.19,,pm25
2024-11-15 19:00:00,75.9,μg/m³,45.4642,9.19,,pm25
2024-11-15 20:00:00,87.7,μg/m³,45.4642,9.19,,pm25
2024-11-15 21:00:00,93.1,μg/m³,45.4642,9.19,,pm25
2024-11-15 22:00:00,97.0,μg/m³,45.4642,9.19,,pm25
2024-11-15 23:00:00,97.8,μg/m³,45.4642,9.19,,pm25
2024-11-16 00:00:00,95.4,μg/m³,45.4642,9.19,,pm25
2024-11-16 01:00:00,88.6,μg/m³,45.4642,9.19,,pm25
2024-11-16 02:00:00,79.9,μg/m³,45.4642,9.19,,pm25
2024-11-16 03:00:00,77.9,μg/m³,45.4642,9.19,,pm25
2024-11-16 04:00:00,74.7,μg/m³,45.4642,9.19,,pm25
2024-11-16 05:00:00,72.7,μg/m³,45.4642,9.19,,pm25
2024-11-16 06:00:00,72.6,μg/m³,45.4642,9.19,,pm25
2024-11-16 07:00:00,73.7,μg/m³,45.4642,9.19,,pm25
2024-11-16 08:00:00,74.7,μg/m³,45.4642,9.19,,pm25
2024-11-16 09:00:00,77.9,μg/m³,45.4642,9.19,,pm25
2024-11-16 10:00:00,79.6,μg/m³,45.4642,9.19,,pm25
2024-11-16 11:00:00,77.8,μg/m³,45.4642,9.19,,pm25
2024-11-16 12:00:00,80.6,μg/m³,45.4642,9.19,,pm25
2024-11-16 13:00:00,82.0,μg/m³,45.4642,9.19,,pm25
2024-11-16 14:00:00,80.9,μg/m³,45.4642,9.19,,pm25
